,name,rating,reviews,ctype,hq,old,employees
4837,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4838,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4839,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4840,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4841,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4842,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4843,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4844,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4845,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4846,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4847,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4848,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4849,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
4850,Genpact,3.9,26.2k,IT Services & Consulting,Public,27 years old,1 Lakh+ Employees
4851,Axis Bank,3.9,22k,Banking,Public,31 years old,50k-1 Lakh Employees
4852,Teleperformance,3.6,21.9k,BPO,Forbes Global 2000,46 years old,50k-1 Lakh Employees
4853,Concentrix Corporation,3.9,21.8k,BPO,Public,41 years old,50k-1 Lakh Employees
4854,Jio,4.0,20.6k,Telecom,Public,17 years old,50k-1 Lakh Employees
4855,Amazon,4.1,20.4k,Internet,Public,30 years old,1 Lakh+ Employees
4856,IBM,4.1,19.7k,IT Services & Consulting,Public,113 years old,1 Lakh+ Employees
4857,Reliance Retail,3.9,18.7k,Retail,18 years old,Amravati +988 more,1 Lakh+ Employees
4858,HDB Financial Services,4.0,18.1k,NBFC,17 years old,Amravati +940 more,1 Lakh+ Employees
4859,Larsen & Toubro Limited,4.0,16.6k,Engineering & Construction,Public,86 years old,10k-50k Employees
4860,TCS,3.8,73.1k,IT Services & Consulting,Public,56 years old,1 Lakh+ Employees
4861,Accenture,4.0,46.3k,IT Services & Consulting,Public,35 years old,1 Lakh+ Employees
4862,Cognizant,3.9,41.7k,IT Services & Consulting,Forbes Global 2000,30 years old,1 Lakh+ Employees
4863,Wipro,3.8,39.1k,IT Services & Consulting,Public,79 years old,1 Lakh+ Employees
4864,Capgemini,3.9,34k,IT Services & Consulting,Public,57 years old,1 Lakh+ Employees
4865,HDFC Bank,3.9,33.9k,Banking,Public,30 years old,1 Lakh+ Employees
4866,ICICI Bank,4.0,33.5k,Banking,Public,30 years old,1 Lakh+ Employees
4867,Infosys,3.8,31.8k,IT Services & Consulting,Public,43 years old,1 Lakh+ Employees
4868,HCLTech,3.7,28.5k,IT Services & Consulting,Public,33 years old,1 Lakh+ Employees
4869,Tech Mahindra,3.7,27.6k,IT Services & Consulting,Public,38 years old,1 Lakh+ Employees
